YEAR,PROJECT,SPECIES,DATE,WT_MALE,WT_FEMALE,WT_E1,VOL_E1
1990-91,COPA,ADPE,11/8/1990,3800,4200,NA,NA
1990-91,COPA,ADPE,11/8/1990,4000,3350,NA,NA
1990-91,COPA,ADPE,11/8/1990,4200,3750,NA,NA
1990-91,COPA,ADPE,11/8/1990,3950,3400,NA,NA
1990-91,COPA,ADPE,11/8/1990,4600,3700,NA,NA
1990-91,COPA,ADPE,11/8/1990,4000,2900,NA,NA
1990-91,COPA,ADPE,11/9/1990,3850,3150,NA,NA
1990-91,COPA,ADPE,11/9/1990,4400,3350,120,111.7939845
1990-91,COPA,ADPE,11/9/1990,4450,3600,NA,NA
1990-91,COPA,ADPE,11/9/1990,4000,3550,NA,NA
1990-91,COPA,ADPE,11/10/1990,3950,3950,NA,NA
1990-91,COPA,ADPE,11/10/1990,4350,4250,NA,NA
1990-91,COPA,ADPE,11/10/1990,4550,4350,NA,NA
1990-91,COPA,ADPE,11/12/1990,3850,3450,128,115.5386455
1991-92,COPA,ADPE,11/1/1991,4800,3400,130,118.1694336
1991-92,COPA,ADPE,11/1/1991,4300,3400,NA,NA
1991-92,COPA,ADPE,11/1/1991,4600,3600,128,115.8971535
1991-92,COPA,ADPE,11/2/1991,4500,3100,NA,NA
1991-92,COPA,ADPE,11/3/1991,4600,3500,120,106.6270356
1991-92,COPA,ADPE,11/3/1991,4500,3800,123,108.7378883
1991-92,COPA,ADPE,11/4/1991,4400,3600,114,102.2899456
1991-92,COPA,ADPE,11/4/1991,4000,3500,128,105.2161229
1991-92,COPA,ADPE,11/4/1991,4200,3400,98,86.17732506
1991-92,COPA,ADPE,11/4/1991,4900,3400,108,96.20049101
1991-92,COPA,ADPE,11/4/1991,4400,3200,128,114.4942019
1991-92,COPA,ADPE,11/4/1991,4000,3300,130,117.1725005
1991-92,COPA,ADPE,11/4/1991,4700,3150,116,102.5709834
1991-92,COPA,ADPE,11/4/1991,4200,3500,102,89.9760297
1991-92,COPA,ADPE,11/4/1991,4100,3100,116,103.560404
1991-92,COPA,ADPE,11/4/1991,4400,3500,128,115.6729667
1991-92,COPA,ADPE,11/4/1991,4400,3700,118,109.4453714
1991-92,COPA,ADPE,11/4/1991,5100,3000,102,92.2876416
1991-92,COPA,ADPE,11/4/1991,3800,4000,128,118.1003366
1991-92,COPA,ADPE,11/4/1991,4300,3300,110,102.995753
1991-92,COPA,ADPE,11/4/1991,4400,2900,112,107.3338122
1991-92,COPA,ADPE,11/4/1991,4400,3350,112,98.14583552
1991-92,COPA,ADPE,11/4/1991,4000,3700,120,107.48672
1991-92,COPA,ADPE,11/4/1991,4200,3100,78,67.2656896
1991-92,COPA,ADPE,11/4/1991,4200,3750,114,101.8078065
1991-92,COPA,ADPE,11/4/1991,4400,3300,118,108.030528
1991-92,COPA,ADPE,11/5/1991,4400,3100,121,107.9934336
1991-92,COPA,ADPE,11/5/1991,4500,3600,106,96.94364467
1991-92,COPA,ADPE,11/5/1991,4500,3600,129,116.5688832
1991-92,COPA,ADPE,11/5/1991,4850,3400,115,103.6391547
1991-92,COPA,ADPE,11/5/1991,4050,3900,114,101.5137997
1991-92,COPA,ADPE,11/5/1991,3600,3500,116,104.8278989
1991-92,COPA,ADPE,11/5/1991,3900,3200,125,113.6706959
1991-92,COPA,ADPE,11/5/1991,4900,3650,133,116.46464
1991-92,COPA,ADPE,11/5/1991,4100,3300,132,117.9410104
1991-92,COPA,ADPE,11/5/1991,4200,3700,131,116.044672
1991-92,COPA,ADPE,11/5/1991,4600,3200,119,107.4898207
1991-92,COPA,ADPE,11/5/1991,3700,3600,121,107.214144
1991-92,COPA,ADPE,11/5/1991,4300,3400,108,97.54731213
1991-92,COPA,ADPE,11/5/1991,4600,3900,135,122.7309466
1991-92,COPA,ADPE,11/5/1991,3700,2900,105,99.955456
1991-92,COPA,ADPE,11/5/1991,4700,3300,123,110.4539812
1991-92,COPA,ADPE,11/5/1991,4200,3200,125,112.59776
1991-92,COPA,ADPE,11/5/1991,3900,3300,123,110.2027622
1991-92,COPA,ADPE,11/5/1991,4000,3200,108,93.45024
1991-92,COPA,ADPE,11/5/1991,4300,3700,117,102.8785029
1991-92,COPA,ADPE,11/6/1991,4100,3300,118,108.5036544
1991-92,COPA,ADPE,11/6/1991,3900,3550,120,108.4044902
1991-92,COPA,ADPE,11/6/1991,3900,3500,116,102.9508076
1992-93,COPA,ADPE,10/29/1992,4900,3550,117,111.8633518
1992-93,COPA,ADPE,10/29/1992,4050,3750,110,103.590422
1992-93,COPA,ADPE,10/29/1992,5300,4000,126,117.6002806
1992-93,COPA,ADPE,10/29/1992,4000,3800,150,138.6064835
1992-93,COPA,ADPE,10/29/1992,4450,3500,126,116.9033564
1992-93,COPA,ADPE,10/29/1992,4050,3550,107,101.850304
1992-93,COPA,ADPE,10/29/1992,4700,3400,113,103.1002404
1992-93,COPA,ADPE,10/29/1992,4950,4150,105,96.7130496
1992-93,COPA,ADPE,10/29/1992,4400,4250,129,120.7260288
1992-93,COPA,ADPE,10/29/1992,4500,4200,122,117.0322836
1992-93,COPA,ADPE,10/29/1992,4450,3550,101,99.27991296
1992-93,COPA,ADPE,10/29/1992,4700,3650,129,122.1940326
1992-93,COPA,ADPE,10/29/1992,5350,3450,116,108.4272845
1992-93,COPA,ADPE,10/29/1992,4550,3050,121,117.3522176
1992-93,COPA,ADPE,10/29/1992,4350,3700,117,106.2335406
1992-93,COPA,ADPE,10/29/1992,3850,3750,116,109.7533266
1992-93,COPA,ADPE,10/29/1992,4050,3550,110,91.51016602
1992-93,COPA,ADPE,10/29/1992,4450,3750,110,104.1447547
1992-93,COPA,ADPE,10/29/1992,4600,4050,128,120.86592
1992-93,COPA,ADPE,10/29/1992,4600,4200,127,119.3367168
1992-93,COPA,ADPE,10/29/1992,4100,3350,94,93.41764198
1992-93,COPA,ADPE,10/29/1992,4600,4300,120,111.3365299
1992-93,COPA,ADPE,10/29/1992,4300,3650,109,105.2449705
1992-93,COPA,ADPE,10/29/1992,3950,3800,130,167.1655588
1992-93,COPA,ADPE,10/29/1992,4450,3750,119,110.8545393
1992-93,COPA,ADPE,11/3/1992,4350,4150,115,101.9298094
1992-93,COPA,ADPE,11/3/1992,3700,3600,113,101.4358016
1992-93,COPA,ADPE,11/3/1992,4050,3900,126,113.995479
1992-93,COPA,ADPE,11/3/1992,4400,3350,115,101.4600868
1992-93,COPA,ADPE,11/3/1992,3650,3250,108,94.4718889
1992-93,COPA,ADPE,11/3/1992,3900,3600,130,118.8584141
1992-93,COPA,ADPE,11/3/1992,4050,3750,133,116.0028979
1992-93,COPA,ADPE,11/3/1992,4050,3250,115,103.550976
1992-93,COPA,ADPE,11/3/1992,3950,3750,136,127.7558784
1992-93,COPA,ADPE,11/3/1992,4800,3450,125,108.9619569
1992-93,COPA,ADPE,11/3/1992,4300,3900,128,114.1981839
1992-93,COPA,ADPE,11/3/1992,4450,3550,117,104.23424
1992-93,COPA,ADPE,11/3/1992,4250,3650,128,115.612416
1992-93,COPA,ADPE,11/3/1992,4650,3550,124,109.8392556
1992-93,COPA,ADPE,11/3/1992,4150,3900,111,98.86222848
1992-93,COPA,ADPE,11/3/1992,4050,4000,124,110.5598336
1992-93,COPA,ADPE,11/3/1992,3750,3450,125,109.433346
1992-93,COPA,ADPE,11/3/1992,4050,3600,114,94.60293427
1992-93,COPA,ADPE,11/3/1992,4250,3700,109,95.12663347
1992-93,COPA,ADPE,11/3/1992,4250,4050,140,127.844736
1992-93,COPA,ADPE,11/3/1992,4100,3550,113,100.3062528
1992-93,COPA,ADPE,11/3/1992,4200,3700,113,99.0925312
1992-93,COPA,ADPE,11/3/1992,4100,3250,110,94.012416
1992-93,COPA,ADPE,11/3/1992,4600,4000,122,108.793705
1992-93,COPA,ADPE,11/3/1992,4100,3950,112,100.4783616
1993-94,COPA,ADPE,10/31/1993,4100,3500,112,100.7602893
1993-94,COPA,ADPE,10/31/1993,4050,3500,132,119.4181263
1993-94,COPA,ADPE,10/31/1993,4000,3300,97,89.5729408
1993-94,COPA,ADPE,10/31/1993,4050,3550,115,104.172608
1993-94,COPA,ADPE,10/31/1993,4000,4000,113,102.53056
1993-94,COPA,ADPE,10/31/1993,4700,3750,124,115.4200453
1993-94,COPA,ADPE,10/31/1993,5050,4300,120,108.0333798
1993-94,COPA,ADPE,10/31/1993,4500,4000,118,107.2724526
1993-94,COPA,ADPE,10/31/1993,4500,4350,113,103.9420293
1993-94,COPA,ADPE,10/31/1993,4550,4050,119,109.2129894
1993-94,COPA,ADPE,10/31/1993,3700,3350,117,107.563604
1993-94,COPA,ADPE,10/31/1993,4600,3400,114,103.3646469
1993-94,COPA,ADPE,10/31/1993,3500,3450,111,99.8116352
1993-94,COPA,ADPE,10/31/1993,4000,3350,119,108.10624
1993-94,COPA,ADPE,10/31/1993,4250,3700,110,102.7021312
1993-94,COPA,ADPE,10/31/1993,4500,3500,115,105.0467231
1993-94,COPA,ADPE,10/31/1993,4350,3550,120,106.8210586
1993-94,COPA,ADPE,10/31/1993,4350,3400,99,90.22399078
1993-94,COPA,ADPE,10/31/1993,4750,3950,122,111.973248
1993-94,COPA,ADPE,10/31/1993,3850,3400,145,133.5763907
1993-94,COPA,ADPE,10/31/1993,4200,3950,127,118.1745152
1993-94,COPA,ADPE,10/31/1993,4000,3550,126,117.2412928
1993-94,COPA,ADPE,10/31/1993,4050,3250,119,108.723327
1993-94,COPA,ADPE,10/31/1993,4300,3350,116,103.855551
1993-94,COPA,ADPE,10/31/1993,4000,3700,120,108.8190746
1993-94,COPA,ADPE,11/3/1993,3750,3500,110,100.4871352
1993-94,COPA,ADPE,11/3/1993,4300,3400,118,107.3214423
1993-94,COPA,ADPE,11/3/1993,4000,3300,122,112.8759296
1993-94,COPA,ADPE,11/3/1993,4700,3350,115,108.4307584
1993-94,COPA,ADPE,11/3/1993,4150,3750,124,114.781225
1993-94,COPA,ADPE,11/3/1993,4200,3700,122,113.1870413
1993-94,COPA,ADPE,11/3/1993,4150,4100,108,97.7447977
1993-94,COPA,ADPE,11/3/1993,4200,3600,132,120.6925532
1993-94,COPA,ADPE,11/3/1993,3500,3250,85,77.33574298
1993-94,COPA,ADPE,11/3/1993,5050,4250,106,98.3881728
1993-94,COPA,ADPE,11/3/1993,4150,3600,132,120.9040896
1993-94,COPA,ADPE,11/3/1993,3850,3750,118,108.1130025
1993-94,COPA,ADPE,11/3/1993,4750,3900,135,121.7081887
1993-94,COPA,ADPE,11/3/1993,4400,3650,108,98.16907162
1993-94,COPA,ADPE,11/3/1993,4400,3350,122,114.0730639
1993-94,COPA,ADPE,11/3/1993,5250,3850,105,96.91974451
1993-94,COPA,ADPE,11/3/1993,4300,4000,106,99.05976115
1993-94,COPA,ADPE,11/3/1993,4200,4150,134,121.6021248
1993-94,COPA,ADPE,11/3/1993,3850,3200,125,117.9523953
1993-94,COPA,ADPE,11/3/1993,3900,3800,103,93.92659661
1993-94,COPA,ADPE,11/3/1993,4800,3950,118,111.9296102
1993-94,COPA,ADPE,11/3/1993,4100,2700,112,103.550976
1993-94,COPA,ADPE,11/3/1993,4350,3950,104,95.8418688
1993-94,COPA,ADPE,11/3/1993,4300,3600,127,118.3566612
1993-94,COPA,ADPE,11/3/1993,4050,3100,100,90.75249818
1994-95,COPA,ADPE,11/7/1994,4300,3500,104,94.43534438
1994-95,COPA,ADPE,11/7/1994,4100,3500,127,114.3541924
1994-95,COPA,ADPE,11/7/1994,4000,3200,114,101.661995
1994-95,COPA,ADPE,11/7/1994,4450,3400,124,111.4334392
1994-95,COPA,ADPE,11/7/1994,3750,3550,101,93.38119066
1994-95,COPA,ADPE,11/7/1994,3900,3050,102,93.7271296
1994-95,COPA,ADPE,11/7/1994,4100,4000,96,87.37488077
1994-95,COPA,ADPE,11/7/1994,4600,3850,142,128.6954353
1994-95,COPA,ADPE,11/7/1994,4200,3750,102,91.22157363
1994-95,COPA,ADPE,11/7/1994,4750,3600,116,105.0700308
1994-95,COPA,ADPE,11/7/1994,4350,3550,125,113.0147466
1994-95,COPA,ADPE,11/7/1994,3900,3800,124,112.7087862
1994-95,COPA,ADPE,11/7/1994,3900,3500,111,99.95173222
1994-95,COPA,ADPE,11/7/1994,4150,3650,122,110.0282435
1994-95,COPA,ADPE,11/7/1994,4500,3700,129,120.2489917
1994-95,COPA,ADPE,11/7/1994,4500,3200,116,106.2149816
1994-95,COPA,ADPE,11/7/1994,4050,3400,114,101.5940316
1994-95,COPA,ADPE,11/7/1994,4600,3750,114,105.0131497
1994-95,COPA,ADPE,11/7/1994,4400,3400,117,103.0986383
1994-95,COPA,ADPE,11/7/1994,4100,3100,130,120.2555028
1994-95,COPA,ADPE,11/7/1994,3900,3400,108,98.25350246
1994-95,COPA,ADPE,11/7/1994,4600,3750,77,68.61888
1994-95,COPA,ADPE,11/7/1994,4100,3950,125,112.1220352
1994-95,COPA,ADPE,11/7/1994,4750,3600,126,114.406572
1994-95,COPA,ADPE,11/7/1994,4250,3450,102,93.99075635
1994-95,COPA,ADPE,11/13/1994,4700,3250,108,98.03623219
1994-95,COPA,ADPE,11/13/1994,3600,3450,118,106.427817
1994-95,COPA,ADPE,11/13/1994,3450,3350,119,108.8290345
1994-95,COPA,ADPE,11/13/1994,4450,3600,128,114.2462408
1994-95,COPA,ADPE,11/13/1994,3900,3250,117,105.7737277
1994-95,COPA,ADPE,11/13/1994,3950,3250,116,105.8114642
1994-95,COPA,ADPE,11/13/1994,3950,3400,141,130.070016
1994-95,COPA,ADPE,11/13/1994,3550,3150,124,113.8016174
1994-95,COPA,ADPE,11/13/1994,4150,3600,124,111.8286316
1994-95,COPA,ADPE,11/13/1994,4600,3900,118,106.1811046
1994-95,COPA,ADPE,11/13/1994,5250,3550,126,116.2081152
1994-95,COPA,ADPE,11/13/1994,4400,3850,116,108.2184929
1994-95,COPA,ADPE,11/13/1994,3800,3300,112,105.374442
1994-95,COPA,ADPE,11/13/1994,4200,3300,100,100.8605757
1994-95,COPA,ADPE,11/13/1994,3700,2900,120,110.476929
1994-95,COPA,ADPE,11/13/1994,3900,3700,112,103.938818
1994-95,COPA,ADPE,11/13/1994,3600,3300,114,103.412224
1994-95,COPA,ADPE,11/13/1994,3700,3500,89,82.19551334
1994-95,COPA,ADPE,11/13/1994,3900,2900,95,86.17732506
1994-95,COPA,ADPE,11/13/1994,4200,3400,106,98.9723607
1994-95,COPA,ADPE,11/13/1994,3600,3100,121,108.8618496
1994-95,COPA,ADPE,11/13/1994,3700,3500,110,101.850304
1994-95,COPA,ADPE,11/13/1994,4000,3600,111,104.50944
1994-95,COPA,ADPE,11/13/1994,4000,3400,120,116.8676813
1994-95,COPA,ADPE,11/13/1994,3700,3600,106,101.4358016
1995-96,COPA,ADPE,10/29/1995,4100,3900,114,103.6313068
1995-96,COPA,ADPE,10/29/1995,4900,4000,142,128.9361116
1995-96,COPA,ADPE,10/29/1995,4900,3700,98,89.83690445
1995-96,COPA,ADPE,10/29/1995,4700,3800,126,108.819072
1995-96,COPA,ADPE,10/29/1995,4500,3500,112,100.4764324
1995-96,COPA,ADPE,10/29/1995,4600,4600,134,120.7620116
1995-96,COPA,ADPE,10/29/1995,5000,4200,112,99.2280576
1995-96,COPA,ADPE,10/29/1995,4900,3800,114,100.0249754
1995-96,COPA,ADPE,10/29/1995,4300,3300,114,104.9222922
1995-96,COPA,ADPE,10/29/1995,4600,3800,110,98.537472
1995-96,COPA,ADPE,10/29/1995,4500,4200,120,123.9010406
1995-96,COPA,ADPE,10/29/1995,4700,3900,114,101.5137997
1995-96,COPA,ADPE,10/29/1995,4700,4300,126,116.6984448
1995-96,COPA,ADPE,10/29/1995,4300,3300,112,99.15170202
1995-96,COPA,ADPE,10/29/1995,4800,4100,148,140.0403558
1995-96,COPA,ADPE,10/29/1995,4400,3800,126,114.7174595
1995-96,COPA,ADPE,10/29/1995,5100,4100,112,119.85024
1995-96,COPA,ADPE,10/29/1995,4400,4100,126,114.4623882
1995-96,COPA,ADPE,10/29/1995,5200,4200,116,102.1239624
1995-96,COPA,ADPE,10/29/1995,4200,3800,116,106.8001679
1995-96,COPA,ADPE,10/29/1995,4500,4400,136,120.947968
