YEAR,PROJECT,SPECIES,DATE,DAY_OF_SEASON,WEEK_OF_SEASON,FREQENCY,TRIP_DURATION
1997-98,CS,CHPE,1/19/1998,50,8,5064,9.25
1997-98,CS,CHPE,1/20/1998,51,8,5064,4.5
1997-98,CS,CHPE,1/21/1998,52,8,5064,6.75
1997-98,CS,CHPE,1/27/1998,58,9,5064,7
1997-98,CS,CHPE,1/28/1998,59,9,5064,8.216666667
1997-98,CS,CHPE,2/2/1998,64,10,5064,14.5
1997-98,CS,CHPE,2/3/1998,65,10,5064,20
1997-98,CS,CHPE,2/4/1998,66,10,5064,14.5
1997-98,CS,CHPE,2/5/1998,67,10,5064,16.25
1997-98,CS,CHPE,2/6/1998,68,10,5064,6.25
1997-98,CS,CHPE,2/7/1998,69,10,5064,6.25
1997-98,CS,CHPE,2/8/1998,70,10,5064,4.25
1997-98,CS,CHPE,2/9/1998,71,11,5064,5.75
1997-98,CS,CHPE,2/9/1998,71,11,5064,14.25
1997-98,CS,CHPE,2/10/1998,72,11,5064,18.75
1997-98,CS,CHPE,2/11/1998,73,11,5064,18.5
1997-98,CS,CHPE,2/12/1998,74,11,5064,20.5
1997-98,CS,CHPE,2/13/1998,75,11,5064,11.5
1997-98,CS,CHPE,2/14/1998,76,11,5064,4.25
1997-98,CS,CHPE,2/14/1998,76,11,5064,10.5
1997-98,CS,CHPE,2/15/1998,77,11,5064,5.25
1997-98,CS,CHPE,2/15/1998,77,11,5064,13
1997-98,CS,CHPE,1/11/1998,42,6,5074,13.75
1997-98,CS,CHPE,1/12/1998,43,7,5074,14
1997-98,CS,CHPE,1/16/1998,47,7,5074,17.68333333
1997-98,CS,CHPE,1/18/1998,49,7,5074,4.25
1997-98,CS,CHPE,1/19/1998,50,8,5074,6.25
1997-98,CS,CHPE,1/20/1998,51,8,5074,4.75
1997-98,CS,CHPE,1/22/1998,53,8,5074,9.5
1997-98,CS,CHPE,1/24/1998,55,8,5074,51.75
1997-98,CS,CHPE,1/26/1998,57,9,5074,17
1997-98,CS,CHPE,1/27/1998,58,9,5074,23.21666667
1997-98,CS,CHPE,2/2/1998,64,10,5074,7
1997-98,CS,CHPE,2/3/1998,65,10,5074,4.75
1997-98,CS,CHPE,2/4/1998,66,10,5074,6.25
1997-98,CS,CHPE,2/10/1998,72,11,5074,7.5
1997-98,CS,CHPE,2/12/1998,74,11,5074,8.25
1997-98,CS,CHPE,2/14/1998,76,11,5074,9.5
1997-98,CS,CHPE,2/15/1998,77,11,5074,9.25
1997-98,CS,CHPE,1/26/1998,57,9,5085,5.75
1997-98,CS,CHPE,1/26/1998,57,9,5085,12.5
1997-98,CS,CHPE,1/13/1998,44,7,5094,9.5
1997-98,CS,CHPE,1/14/1998,45,7,5094,11
1997-98,CS,CHPE,1/20/1998,51,8,5094,14.5
1997-98,CS,CHPE,1/22/1998,53,8,5094,9
1997-98,CS,CHPE,1/25/1998,56,8,5094,6.25
1997-98,CS,CHPE,2/1/1998,63,9,5094,5
1997-98,CS,CHPE,2/1/1998,63,9,5094,5
1997-98,CS,CHPE,2/11/1998,73,11,5094,7.25
1997-98,CS,CHPE,2/15/1998,77,11,5094,7.75
1997-98,CS,CHPE,1/9/1998,40,6,5104,18.25
1997-98,CS,CHPE,1/11/1998,42,6,5104,11.25
1997-98,CS,CHPE,1/12/1998,43,7,5104,22.25
1997-98,CS,CHPE,1/16/1998,47,7,5104,9.7
1997-98,CS,CHPE,1/18/1998,49,7,5104,25.75
1997-98,CS,CHPE,1/20/1998,51,8,5104,10.25
1997-98,CS,CHPE,1/24/1998,55,8,5104,4.35
1997-98,CS,CHPE,1/26/1998,57,9,5104,12.25
1997-98,CS,CHPE,1/29/1998,60,9,5104,7.75
1997-98,CS,CHPE,1/30/1998,61,9,5104,10
1997-98,CS,CHPE,2/2/1998,64,10,5104,5.25
1997-98,CS,CHPE,2/10/1998,72,11,5104,8
1997-98,CS,CHPE,2/11/1998,73,11,5104,26.25
1997-98,CS,CHPE,2/13/1998,75,11,5104,23.25
1997-98,CS,CHPE,1/12/1998,43,7,5114,7.75
1997-98,CS,CHPE,1/13/1998,44,7,5114,20.25
1997-98,CS,CHPE,1/15/1998,46,7,5114,9.25
1997-98,CS,CHPE,1/18/1998,49,7,5114,17.25
1997-98,CS,CHPE,1/20/1998,51,8,5114,8
1997-98,CS,CHPE,1/21/1998,52,8,5114,24.5
1997-98,CS,CHPE,1/30/1998,61,9,5114,7.75
1997-98,CS,CHPE,2/1/1998,63,9,5114,4.25
1997-98,CS,CHPE,2/3/1998,65,10,5114,6.25
1997-98,CS,CHPE,2/3/1998,65,10,5114,19.25
1997-98,CS,CHPE,2/6/1998,68,10,5114,6
1997-98,CS,CHPE,2/9/1998,71,11,5114,4.5
1997-98,CS,CHPE,2/11/1998,73,11,5114,8.75
1997-98,CS,CHPE,2/12/1998,74,11,5114,10.5
1997-98,CS,CHPE,2/13/1998,75,11,5114,15.5
1997-98,CS,CHPE,2/15/1998,77,11,5114,9.866666667
1997-98,CS,CHPE,1/10/1998,41,6,5125,11.75
1997-98,CS,CHPE,1/11/1998,42,6,5125,19.75
1997-98,CS,CHPE,1/13/1998,44,7,5125,10.75
1997-98,CS,CHPE,1/19/1998,50,8,5125,11.5
1997-98,CS,CHPE,1/20/1998,51,8,5125,10.75
1997-98,CS,CHPE,1/22/1998,53,8,5125,9.75
1997-98,CS,CHPE,1/25/1998,56,8,5125,7.5
1997-98,CS,CHPE,1/27/1998,58,9,5125,5.75
1997-98,CS,CHPE,1/28/1998,59,9,5125,13.75
1997-98,CS,CHPE,1/30/1998,61,9,5125,9.25
1997-98,CS,CHPE,1/31/1998,62,9,5125,4.5
1997-98,CS,CHPE,2/1/1998,63,9,5125,8
1997-98,CS,CHPE,2/2/1998,64,10,5125,17.75
1997-98,CS,CHPE,2/4/1998,66,10,5125,13.75
1997-98,CS,CHPE,2/6/1998,68,10,5125,4
1997-98,CS,CHPE,2/8/1998,70,10,5125,6.5
1997-98,CS,CHPE,2/12/1998,74,11,5125,11.25
1997-98,CS,CHPE,2/14/1998,76,11,5125,4.75
1997-98,CS,CHPE,1/10/1998,41,6,5133,23.5
1997-98,CS,CHPE,1/12/1998,43,7,5133,4.25
1997-98,CS,CHPE,1/19/1998,50,8,5133,7.5
1997-98,CS,CHPE,1/20/1998,51,8,5133,8.25
1997-98,CS,CHPE,1/21/1998,52,8,5133,4.75
1997-98,CS,CHPE,2/10/1998,72,11,5133,9.25
1997-98,CS,CHPE,2/12/1998,74,11,5133,8.75
1997-98,CS,CHPE,2/13/1998,75,11,5133,7
1997-98,CS,CHPE,2/14/1998,76,11,5133,4.25
1997-98,CS,CHPE,1/10/1998,41,6,5144,13.75
1997-98,CS,CHPE,1/11/1998,42,6,5144,17.75
1997-98,CS,CHPE,1/13/1998,44,7,5144,8.25
1997-98,CS,CHPE,1/14/1998,45,7,5144,21.5
1997-98,CS,CHPE,1/15/1998,46,7,5144,12
1997-98,CS,CHPE,1/16/1998,47,7,5144,5
1997-98,CS,CHPE,1/18/1998,49,7,5144,10.5
1997-98,CS,CHPE,1/19/1998,50,8,5144,21
1997-98,CS,CHPE,1/20/1998,51,8,5144,13.5
1997-98,CS,CHPE,1/21/1998,52,8,5144,14.25
1997-98,CS,CHPE,1/22/1998,53,8,5144,13.75
1997-98,CS,CHPE,1/23/1998,54,8,5144,15.85
1997-98,CS,CHPE,1/26/1998,57,9,5144,4.25
1997-98,CS,CHPE,1/29/1998,60,9,5144,19
1997-98,CS,CHPE,1/30/1998,61,9,5144,12.25
1997-98,CS,CHPE,1/31/1998,62,9,5144,12
1997-98,CS,CHPE,2/6/1998,68,10,5144,6.25
1997-98,CS,CHPE,2/8/1998,70,10,5144,22.5
1997-98,CS,CHPE,2/10/1998,72,11,5144,11.75
1997-98,CS,CHPE,2/11/1998,73,11,5144,5
1997-98,CS,CHPE,2/12/1998,74,11,5144,6
1997-98,CS,CHPE,2/13/1998,75,11,5144,7.5
1997-98,CS,CHPE,2/15/1998,77,11,5144,7
1997-98,CS,CHPE,1/10/1998,41,6,5153,9
1997-98,CS,CHPE,1/10/1998,41,6,5153,7.5
1997-98,CS,CHPE,1/11/1998,42,6,5153,5.75
1997-98,CS,CHPE,1/14/1998,45,7,5153,7.25
1997-98,CS,CHPE,1/16/1998,47,7,5153,5.25
1997-98,CS,CHPE,1/16/1998,47,7,5153,4.5
1997-98,CS,CHPE,1/18/1998,49,7,5153,4.75
1997-98,CS,CHPE,1/21/1998,52,8,5153,20.25
1997-98,CS,CHPE,1/22/1998,53,8,5153,14.5
1997-98,CS,CHPE,1/22/1998,53,8,5153,8.5
1997-98,CS,CHPE,1/23/1998,54,8,5153,4
1997-98,CS,CHPE,1/24/1998,55,8,5153,7.366666667
1997-98,CS,CHPE,1/25/1998,56,8,5153,5.5
1997-98,CS,CHPE,1/26/1998,57,9,5153,5
1997-98,CS,CHPE,1/26/1998,57,9,5153,8
1997-98,CS,CHPE,1/27/1998,58,9,5153,5.25
1997-98,CS,CHPE,1/27/1998,58,9,5153,7.25
1997-98,CS,CHPE,1/28/1998,59,9,5153,5.716666667
1997-98,CS,CHPE,1/29/1998,60,9,5153,10
1997-98,CS,CHPE,1/29/1998,60,9,5153,5
1997-98,CS,CHPE,1/29/1998,60,9,5153,8.25
1997-98,CS,CHPE,1/30/1998,61,9,5153,9.5
1997-98,CS,CHPE,1/31/1998,62,9,5153,18.5
1997-98,CS,CHPE,1/31/1998,62,9,5153,8.25
1997-98,CS,CHPE,2/1/1998,63,9,5153,59
1997-98,CS,CHPE,2/4/1998,66,10,5153,10.75
1997-98,CS,CHPE,2/5/1998,67,10,5153,15.5
1997-98,CS,CHPE,2/6/1998,68,10,5153,5.25
1997-98,CS,CHPE,2/6/1998,68,10,5153,7
1997-98,CS,CHPE,2/7/1998,69,10,5153,9.083333333
1997-98,CS,CHPE,2/8/1998,70,10,5153,35
1997-98,CS,CHPE,2/10/1998,72,11,5153,9.25
1997-98,CS,CHPE,2/11/1998,73,11,5153,24.25
1997-98,CS,CHPE,2/12/1998,74,11,5153,8
1997-98,CS,CHPE,2/13/1998,75,11,5153,7.25
1997-98,CS,CHPE,2/14/1998,76,11,5153,26.75
1997-98,CS,CHPE,2/15/1998,77,11,5153,7.35
1997-98,CS,CHPE,1/12/1998,43,7,5164,10.25
1997-98,CS,CHPE,1/13/1998,44,7,5164,23
1997-98,CS,CHPE,1/15/1998,46,7,5164,23.75
1997-98,CS,CHPE,1/17/1998,48,7,5164,11.06666667
1997-98,CS,CHPE,1/18/1998,49,7,5164,23.25
1997-98,CS,CHPE,1/20/1998,51,8,5164,8.5
1997-98,CS,CHPE,1/22/1998,53,8,5164,9
1997-98,CS,CHPE,1/26/1998,57,9,5164,12.75
1997-98,CS,CHPE,1/27/1998,58,9,5164,17
1997-98,CS,CHPE,1/28/1998,59,9,5164,12.25
1997-98,CS,CHPE,1/29/1998,60,9,5164,14.5
1997-98,CS,CHPE,1/30/1998,61,9,5164,12
1997-98,CS,CHPE,2/2/1998,64,10,5164,8.5
1997-98,CS,CHPE,2/4/1998,66,10,5164,12.5
1997-98,CS,CHPE,2/8/1998,70,10,5164,9.25
1997-98,CS,CHPE,2/8/1998,70,10,5164,16.25
1997-98,CS,CHPE,2/9/1998,71,11,5164,16.75
1997-98,CS,CHPE,2/11/1998,73,11,5164,10
1997-98,CS,CHPE,2/12/1998,74,11,5164,11.5
1997-98,CS,CHPE,2/12/1998,74,11,5164,21.25
1997-98,CS,CHPE,2/15/1998,77,11,5164,6.25
1997-98,CS,CHPE,1/9/1998,40,6,5174,15.75
1997-98,CS,CHPE,1/14/1998,45,7,5174,24.5
1997-98,CS,CHPE,1/17/1998,48,7,5174,22.56666667
1997-98,CS,CHPE,1/21/1998,52,8,5174,7.75
1997-98,CS,CHPE,1/22/1998,53,8,5174,9.75
1997-98,CS,CHPE,1/24/1998,55,8,5174,16.6
1997-98,CS,CHPE,1/26/1998,57,9,5174,5.25
1997-98,CS,CHPE,1/29/1998,60,9,5174,5.75
1997-98,CS,CHPE,1/30/1998,61,9,5174,16
1997-98,CS,CHPE,2/2/1998,64,10,5174,7
1997-98,CS,CHPE,2/4/1998,66,10,5174,23.25
1997-98,CS,CHPE,2/6/1998,68,10,5174,5.5
1997-98,CS,CHPE,2/8/1998,70,10,5174,7.5
1997-98,CS,CHPE,2/10/1998,72,11,5174,27
1997-98,CS,CHPE,2/14/1998,76,11,5174,9.75
1997-98,CS,CHPE,1/10/1998,41,6,5183,11.25
1997-98,CS,CHPE,1/11/1998,42,6,5183,10.25
1997-98,CS,CHPE,1/12/1998,43,7,5183,9.5
1997-98,CS,CHPE,1/13/1998,44,7,5183,10.75
1997-98,CS,CHPE,1/15/1998,46,7,5183,15
1997-98,CS,CHPE,1/17/1998,48,7,5183,18.5
1997-98,CS,CHPE,1/20/1998,51,8,5183,6.75
1997-98,CS,CHPE,1/22/1998,53,8,5183,7
1997-98,CS,CHPE,1/23/1998,54,8,5183,8.75
1997-98,CS,CHPE,1/24/1998,55,8,5183,9.6
1997-98,CS,CHPE,2/5/1998,67,10,5183,8.75
1997-98,CS,CHPE,2/6/1998,68,10,5183,7.5
1997-98,CS,CHPE,2/7/1998,69,10,5183,14.08333333
1997-98,CS,CHPE,2/8/1998,70,10,5183,5
1997-98,CS,CHPE,2/11/1998,73,11,5183,6
1997-98,CS,CHPE,2/12/1998,74,11,5183,7.25
1997-98,CS,CHPE,2/13/1998,75,11,5183,7.5
1997-98,CS,CHPE,2/14/1998,76,11,5183,7
1997-98,CS,CHPE,2/15/1998,77,11,5183,5.25
1997-98,CS,CHPE,1/10/1998,41,6,5194,11.5
1997-98,CS,CHPE,1/11/1998,42,6,5194,7.75
1997-98,CS,CHPE,1/11/1998,42,6,5194,19
1997-98,CS,CHPE,1/13/1998,44,7,5194,21.75
1997-98,CS,CHPE,1/15/1998,46,7,5194,18.93333333
1997-98,CS,CHPE,1/18/1998,49,7,5194,9
1997-98,CS,CHPE,1/19/1998,50,8,5194,12.75
1997-98,CS,CHPE,1/20/1998,51,8,5194,9.75
1997-98,CS,CHPE,1/21/1998,52,8,5194,11.5
1997-98,CS,CHPE,1/22/1998,53,8,5194,10
1997-98,CS,CHPE,1/23/1998,54,8,5194,8
1997-98,CS,CHPE,1/29/1998,60,9,5194,13.25
1997-98,CS,CHPE,1/30/1998,61,9,5194,12
1997-98,CS,CHPE,1/31/1998,62,9,5194,13.25
1997-98,CS,CHPE,2/1/1998,63,9,5194,9.5
1997-98,CS,CHPE,2/2/1998,64,10,5194,10.25
1997-98,CS,CHPE,2/3/1998,65,10,5194,9.75
1997-98,CS,CHPE,2/5/1998,67,10,5194,14.25
1997-98,CS,CHPE,2/6/1998,68,10,5194,12
1997-98,CS,CHPE,2/7/1998,69,10,5194,11.6
1997-98,CS,CHPE,2/9/1998,71,11,5194,14.25
1997-98,CS,CHPE,2/10/1998,72,11,5194,12.75
1997-98,CS,CHPE,2/11/1998,73,11,5194,12
1997-98,CS,CHPE,2/12/1998,74,11,5194,9
1997-98,CS,CHPE,2/15/1998,77,11,5194,8
1997-98,CS,CHPE,1/13/1998,44,7,5211,22.5
1997-98,CS,CHPE,1/16/1998,47,7,5211,4.933333333
1997-98,CS,CHPE,1/18/1998,49,7,5211,7.75
1997-98,CS,CHPE,1/19/1998,50,8,5211,19.25
1997-98,CS,CHPE,1/30/1998,61,9,5211,6
1997-98,CS,CHPE,1/31/1998,62,9,5211,13.75
1997-98,CS,CHPE,2/2/1998,64,10,5211,13.25
1997-98,CS,CHPE,2/2/1998,64,10,5211,16.75
1997-98,CS,CHPE,2/3/1998,65,10,5211,5.75
1997-98,CS,CHPE,2/4/1998,66,10,5211,6
1997-98,CS,CHPE,2/4/1998,66,10,5211,13
1997-98,CS,CHPE,2/5/1998,67,10,5211,7.75
1997-98,CS,CHPE,2/5/1998,67,10,5211,14.5
1997-98,CS,CHPE,2/7/1998,69,10,5211,5.583333333
1997-98,CS,CHPE,2/8/1998,70,10,5211,7
1997-98,CS,CHPE,2/8/1998,70,10,5211,4.25
1997-98,CS,CHPE,2/9/1998,71,11,5211,17
1997-98,CS,CHPE,2/10/1998,72,11,5211,11.25
1997-98,CS,CHPE,2/11/1998,73,11,5211,12.25
1997-98,CS,CHPE,2/13/1998,75,11,5211,5.5
1997-98,CS,CHPE,2/14/1998,76,11,5211,12.5
1997-98,CS,CHPE,1/15/1998,46,7,5224,6.75
1997-98,CS,CHPE,1/17/1998,48,7,5224,36.81666667
1997-98,CS,CHPE,1/20/1998,51,8,5224,7
1997-98,CS,CHPE,1/21/1998,52,8,5224,6.75
1997-98,CS,CHPE,1/22/1998,53,8,5224,6.25
1997-98,CS,CHPE,1/24/1998,55,8,5224,8.35
1997-98,CS,CHPE,1/28/1998,59,9,5224,27.23333333
1997-98,CS,CHPE,1/30/1998,61,9,5224,8.5
1997-98,CS,CHPE,1/31/1998,62,9,5224,12.75
1997-98,CS,CHPE,1/31/1998,62,9,5224,4.5
1997-98,CS,CHPE,2/1/1998,63,9,5224,4.5
1997-98,CS,CHPE,2/1/1998,63,9,5224,14.5
1997-98,CS,CHPE,2/2/1998,64,10,5224,4.75
1997-98,CS,CHPE,2/3/1998,65,10,5224,11.5
1997-98,CS,CHPE,2/4/1998,66,10,5224,14.25
1997-98,CS,CHPE,2/5/1998,67,10,5224,4.25
1997-98,CS,CHPE,2/5/1998,67,10,5224,4.5
1997-98,CS,CHPE,2/6/1998,68,10,5224,14.25
1997-98,CS,CHPE,2/7/1998,69,10,5224,17.33333333
1997-98,CS,CHPE,2/8/1998,70,10,5224,5.25
1997-98,CS,CHPE,2/9/1998,71,11,5224,6.25
1997-98,CS,CHPE,2/10/1998,72,11,5224,20.25
1997-98,CS,CHPE,2/11/1998,73,11,5224,4
1997-98,CS,CHPE,2/12/1998,74,11,5224,6.5
1997-98,CS,CHPE,2/13/1998,75,11,5224,8.5
1997-98,CS,CHPE,2/14/1998,76,11,5224,15
1997-98,CS,CHPE,2/15/1998,77,11,5224,22.85
1997-98,CS,CHPE,1/11/1998,42,6,5234,20.5
1997-98,CS,CHPE,1/20/1998,51,8,5234,18.5
1997-98,CS,CHPE,1/27/1998,58,9,5234,8
1997-98,CS,CHPE,1/31/1998,62,9,5234,4.5
1997-98,CS,CHPE,2/2/1998,64,10,5234,4.75
1997-98,CS,CHPE,2/2/1998,64,10,5234,5.5
1997-98,CS,CHPE,2/3/1998,65,10,5234,13.5
1997-98,CS,CHPE,2/4/1998,66,10,5234,9.75
1997-98,CS,CHPE,2/5/1998,67,10,5234,4
1997-98,CS,CHPE,2/6/1998,68,10,5234,5
1997-98,CS,CHPE,2/6/1998,68,10,5234,4.25
1997-98,CS,CHPE,2/7/1998,69,10,5234,8.583333333
1997-98,CS,CHPE,2/8/1998,70,10,5234,4.75
1997-98,CS,CHPE,2/10/1998,72,11,5234,6
1997-98,CS,CHPE,2/10/1998,72,11,5234,7
1997-98,CS,CHPE,2/11/1998,73,11,5234,14.75
1997-98,CS,CHPE,2/12/1998,74,11,5234,6
1997-98,CS,CHPE,2/13/1998,75,11,5234,5
1997-98,CS,CHPE,2/15/1998,77,11,5234,5.85
1997-98,CS,CHPE,1/16/1998,47,7,5243,18.5
1997-98,CS,CHPE,1/19/1998,50,8,5243,24.25
1997-98,CS,CHPE,1/24/1998,55,8,5243,19.75
1997-98,CS,CHPE,1/25/1998,56,8,5243,15.25
1997-98,CS,CHPE,1/26/1998,57,9,5243,14.75
1997-98,CS,CHPE,1/27/1998,58,9,5243,21.96666667
1997-98,CS,CHPE,1/31/1998,62,9,5243,5
1997-98,CS,CHPE,1/31/1998,62,9,5243,4.25
1997-98,CS,CHPE,2/1/1998,63,9,5243,5
1997-98,CS,CHPE,2/2/1998,64,10,5243,8.25
1997-98,CS,CHPE,2/5/1998,67,10,5243,20.5
1997-98,CS,CHPE,2/9/1998,71,11,5243,9
1997-98,CS,CHPE,2/9/1998,71,11,5243,16.5
1997-98,CS,CHPE,2/15/1998,77,11,5243,5.75
1997-98,CS,CHPE,2/15/1998,77,11,5243,44.1
1997-98,CS,CHPE,1/26/1998,57,9,5255,5.25
1997-98,CS,CHPE,1/27/1998,58,9,5255,7
1997-98,CS,CHPE,1/28/1998,59,9,5255,6.216666667
1997-98,CS,CHPE,1/29/1998,60,9,5255,5.75
1997-98,CS,CHPE,1/29/1998,60,9,5255,16.5
1997-98,CS,CHPE,1/30/1998,61,9,5255,27
1997-98,CS,CHPE,1/31/1998,62,9,5255,14.25
1997-98,CS,CHPE,2/1/1998,63,9,5255,21.75
1997-98,CS,CHPE,2/2/1998,64,10,5255,10.25
1997-98,CS,CHPE,2/3/1998,65,10,5255,8.25
1997-98,CS,CHPE,2/4/1998,66,10,5255,18.75
1997-98,CS,CHPE,2/5/1998,67,10,5255,14.5
1997-98,CS,CHPE,2/6/1998,68,10,5255,11
1997-98,CS,CHPE,2/7/1998,69,10,5255,4.5
1997-98,CS,CHPE,2/7/1998,69,10,5255,14.58333333
1997-98,CS,CHPE,2/8/1998,70,10,5255,10
1997-98,CS,CHPE,2/9/1998,71,11,5255,7.5
1997-98,CS,CHPE,2/9/1998,71,11,5255,4
1997-98,CS,CHPE,2/10/1998,72,11,5255,9
1997-98,CS,CHPE,2/11/1998,73,11,5255,5.5
1997-98,CS,CHPE,2/12/1998,74,11,5255,5
1997-98,CS,CHPE,2/13/1998,75,11,5255,7.25
1997-98,CS,CHPE,2/15/1998,77,11,5255,15.35
1997-98,CS,CHPE,1/11/1998,42,6,5265,7.25
1997-98,CS,CHPE,1/11/1998,42,6,5265,10.75
1997-98,CS,CHPE,1/15/1998,46,7,5265,4
1997-98,CS,CHPE,1/15/1998,46,7,5265,12.75
1997-98,CS,CHPE,1/17/1998,48,7,5265,5.25
1997-98,CS,CHPE,1/17/1998,48,7,5265,41
1997-98,CS,CHPE,1/19/1998,50,8,5265,17.5
1997-98,CS,CHPE,1/20/1998,51,8,5265,16
1997-98,CS,CHPE,1/24/1998,55,8,5265,15.25
1997-98,CS,CHPE,1/25/1998,56,8,5265,17
1997-98,CS,CHPE,1/29/1998,60,9,5265,19.75
1997-98,CS,CHPE,1/30/1998,61,9,5265,13.25
1997-98,CS,CHPE,2/6/1998,68,10,5265,28.08333333
1997-98,CS,CHPE,2/8/1998,70,10,5265,15.5
1997-98,CS,CHPE,2/9/1998,71,11,5265,42.75
1997-98,CS,CHPE,2/12/1998,74,11,5265,49.25
1997-98,CS,CHPE,2/14/1998,76,11,5265,24
1997-98,CS,CHPE,2/15/1998,77,11,5265,13.75
1997-98,CS,CHPE,1/10/1998,41,6,5275,7.5
1997-98,CS,CHPE,1/10/1998,41,6,5275,10.25
